Query_ID	day	month	query
386504	1	mar.	Cust is upset that her phone was out for a week and she is being charged for outgoing mobile calls and now her phone service is out again.
386507	1	mar.	Cust is dissatisfied as line manager advised would call back when line would be fixed and he closed the report and did not call cust.
386510	1	mar.	Customer advised that a temporary line was installed a while ago and the lines person advised her that the job had been put through as urgent but as yet no one has attended. Customer advised that the cable is running along her fence and as she lives on the corner of a busy intersection. She is concerned that this maybe tampered with.
386513	1	mar.	This number and dedicated data line number has been out of order for a number of days. This cust advised losing lots of business with both lines out. Cust would also like to be reimbursed for phone calls made due to service not being active.
386514	1	mar.	Customer called advised was speaking to his son when the call was cut out. Customer called faults and i adised the customer there maybe exchange work being done customer advised was not notifed and disatisfed that his call was terminated. Cust wanted to be reimbursed for the call made. Advised cust i am not authorised to give a credit to the customer acct will need to speak to billing, bill was closed put in a complaint for the reimbursement for the calls that where cut off.
386517	1	mar.	Priority cus cust can make and rec calls. DTP. Unable to connect to i/net. Cust advised about 1 month ago new cables laid btwn hse and pit and cabling was left laying on ground. Joins in cabling exposed to weather. Rain in area. Cust also concerned as he has livestock which mayhave walked on it. Cust advised he works from home and will lose business if unable to connect to net. Cust feels ASTROCOMM responsible as cabling left exposed. Cust advised service rep who did temp fix said some one would be back to do perm fix. But didnt return. Cato entered.
386519	1	mar.	Cust called in as she connected cable but claimed she was misinformed re the prices. Cust called in on Friday 7th feb to organise connection and was advised that she had showtime and showtime 1 in the basic package with the satelite and costs for an additional outlet was $30 and no monthly charge. Mrs bobhe then called in on the sat to confirm a few things and was told that there was no order found so the consultant did another order through only to be advised that the second set top unit was $80 at time of install and not $30 but still no monthly charge. Cable then called to arrange booking with mrs bobhe and confirmed that there would be a monthly charge for the set top unit so she cancelled that. Once the cable was installed - yesterday she realised that the movies were not included in the basic package and was very angry and requested to all be disconnected. Have arranged for the cable to be disconnected but they are going to charge a $250 disconnection fee cust claims will not pay as she has been misinformed.
386521	1	mar.	Lightening damaged wiring & box on wall 3 weeks ago. Cust is concerned that is taking so long to have wiring completely fixed. Dial tone has been restored by service rep. Cust concerned that is not definate will be fixed on 3/3 as previously advised.
386524	1	mar.	Due to an order processing delay for outbound sales calls, customer did not have everyday std provisioned at time of iniTIAl contact on 26/02/2003 and needs to have charges backdated.
386526	1	mar.	Simon is unhappy with the service recieved from ASTROCOMM, there has been an exchange which has occurred twice in the past month, he advises that will lose thousands of $$ due to the problem, he is also concerned with the fact ASTROCOMM advises that we are working at the exchange but the customer is standing 50 ft from the exchange and he can not see anyone working at the exchange, he is also concerned that his alarm system is also connected to the line, he also is unhappy with the fact that he does not recieve his outgoing call fr his mobile if diverted at his normal land line rates,
